diamond ace
diamond two
diamond three
diamond four
diamond five
diamond six
diamond seven
diamond eight
diamond nine
diamond ten
diamond jack
diamond knight
diamond queen
diamond king
spade ace
spade two
spade three
spade four
spade five
spade six
spade seven
spade eight
spade nine
spade ten
spade jack
spade knight
spade queen
spade king
heart ace
heart two
heart three
heart four
heart five
heart six
heart seven
heart eight
heart nine
heart ten
heart jack
heart knight
heart queen
heart king
club ace
club two
club three
club four
club five
club six
club seven
club eight
club nine
club ten
club jack
club knight
club queen
club king
trump one
trump two
trump three
trump four
trump five
trump six
trump seven
trump eight
trump nine
trump ten
trump eleven
trump twelve
trump thirteen
trump fourteen
trump fifteen
trump sixteen
trump seventeen
trump eighteen
trump nineteen
trump twenty
trump twentyone
trump fool
